iter	Logloss
0	0.5274947371
1	0.3980189387
2	0.3081088458
3	0.2409010799
4	0.1860152949
5	0.1460768273
6	0.1142653989
7	0.0896370791
8	0.06889577529
9	0.05623604987
10	0.04576775964
11	0.03600731628
12	0.02960867602
13	0.02409283376
14	0.01998843452
15	0.01642852821
16	0.01352880347
17	0.01160687339
18	0.009803453198
19	0.008398642664
20	0.007376418954
21	0.006423415132
22	0.005643449728
23	0.004937247086
24	0.004377565891
25	0.003946536449
26	0.003517564176
27	0.003230854326
28	0.002935705189
29	0.002710332384
30	0.002544257698
31	0.002360750806
32	0.002183224484
33	0.002021099844
34	0.001888087343
35	0.001791480049
36	0.001684737826
37	0.00160241421
38	0.001543057304
39	0.001465143015
40	0.00140132444
41	0.001342159608
42	0.001284617345
43	0.001237433111
44	0.001202346775
45	0.001161747274
46	0.001129878695
47	0.001095668198
48	0.001068609927
49	0.001039337177
50	0.001013822974
51	0.0009899484343
52	0.0009723039405
